Date,Platform,Post Type,Caption,Product Name,Unused,Time,Status
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #1,<<PUT_PRODUCT_1_NAME>>,x,12:00:00,draft
23-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #2,<<PUT_PRODUCT_2_NAME>>,x,12:00:00,draft
24-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #3,<<PUT_PRODUCT_3_NAME>>,x,12:00:00,draft
25-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #4,<<PUT_PRODUCT_4_NAME>>,x,12:00:00,draft
26-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #5,<<PUT_PRODUCT_5_NAME>>,x,12:00:00,draft
27-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #6,<<PUT_PRODUCT_6_NAME>>,x,12:00:00,draft
28-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #7,<<PUT_PRODUCT_7_NAME>>,x,12:00:00,draft
29-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #8,<<PUT_PRODUCT_8_NAME>>,x,12:00:00,draft
30-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #9,<<PUT_PRODUCT_9_NAME>>,x,12:00:00,draft
31-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #10,<<PUT_PRODUCT_10_NAME>>,x,12:00:00,draft
01-06-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #11,<<PUT_PRODUCT_11_NAME>>,x,12:00:00,draft
02-06-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #12,<<PUT_PRODUCT_12_NAME>>,x,12:00:00,draft
03-06-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #13,<<PUT_PRODUCT_13_NAME>>,x,12:00:00,draft
04-06-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #14,<<PUT_PRODUCT_14_NAME>>,x,12:00:00,draft
05-06-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #15,<<PUT_PRODUCT_15_NAME>>,x,12:00:00,draft
06-06-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #16,<<PUT_PRODUCT_16_NAME>>,x,12:00:00,draft
07-06-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #17,<<PUT_PRODUCT_17_NAME>>,x,12:00:00,draft
08-06-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #18,<<PUT_PRODUCT_18_NAME>>,x,12:00:00,draft
09-06-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #19,<<PUT_PRODUCT_19_NAME>>,x,12:00:00,draft
10-06-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - #20,<<PUT_PRODUCT_20_NAME>>,x,12:00:00,draft

