Date,Platform,Post Type,Caption,Product Name,Unused,Time,Status
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 1,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 2,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 3,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 4,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 5,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 6,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 7,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 8,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 9,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 10,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 11,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 12,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 13,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 14,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 15,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 16,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 17,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 18,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 19,,,x,12:00:00,draft
22-05-2026,Instagram,Feed Post,Dummy bulk post for SocialBrain - 20,,,x,12:00:00,draft

